id,value,location,kills,health,title
1,1943,S002,0,f,
2,1943,S002,0,m,
3,1943,S002,1,p,
4,1943,S002,3,s,
5,1945,S004,6,f,
6,1945,S004,1,m,
7,1945,S004,4,p,
8,1945,S004,8,s,
9,1946,S006,2,f,
10,1946,S006,0,m,
11,1946,S006,0,p,
12,1946,S006,0,s,
13,1946,S007,2,f,
14,1946,S007,1,m,
15,1946,S007,0,p,
16,1946,S007,1,s,
17,1946,S008,0,f,
18,1946,S008,1,m,
19,1946,S008,1,p,
20,1946,S008,2,s,
21,1946,S009,0,f,
22,1946,S009,0,m,
23,1946,S009,1,p,
24,1946,S009,1,s,
25,1946,S010,1,f,
26,1946,S010,1,m,
27,1946,S010,0,p,
28,1946,S010,1,s,
29,1946,S011,3,f,
30,1946,S011,0,m,
31,1946,S011,0,p,
32,1946,S011,1,s,
33,1946,S012,0,f,
34,1946,S012,1,m,
35,1946,S012,1,p,
36,1946,S012,0,s,
37,1946,S013,3,f,
38,1946,S013,0,m,
39,1946,S013,1,p,
40,1946,S013,1,s,
41,1947,S014,0,f,
42,1947,S014,0,m,
43,1947,S014,0,p,
44,1947,S014,1,s,
45,1947,S015,3,f,
46,1947,S015,0,m,
47,1947,S015,0,p,
48,1947,S015,0,s,
49,1947,S016,1,f,
50,1947,S016,0,m,
51,1947,S016,2,p,
52,1947,S016,1,s,
53,1947,S017,0,f,
54,1947,S017,1,m,
55,1947,S017,0,p,
56,1947,S017,0,s,
57,1947,S018,4,f,
58,1947,S018,0,m,
59,1947,S018,0,p,
60,1947,S018,0,s,
61,1947,S019,3,f,
62,1947,S019,0,m,
63,1947,S019,1,p,
64,1947,S019,0,s,
65,1947,S020,0,f,
66,1947,S020,0,m,
67,1947,S020,0,p,
68,1947,S020,1,s,
69,1947,S021,0,f,
70,1947,S021,0,m,
71,1947,S021,1,p,
72,1947,S021,1,s,
73,1947,S022,0,f,
74,1947,S022,0,m,
75,1947,S022,1,p,
76,1947,S022,1,s,
77,1948,S023,2,f,
78,1948,S023,1,m,
79,1948,S023,1,p,
80,1948,S023,0,s,
81,1948,S024,0,f,
82,1948,S024,0,m,
83,1948,S024,0,p,
84,1948,S024,1,s,
85,1948,S025,2,f,
86,1948,S025,0,m,
87,1948,S025,1,p,
88,1948,S025,3,s,
89,1948,S026,2,f,
90,1948,S026,0,m,
91,1948,S026,0,p,
